State_Crop_District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare)
Andhra Pradesh,,,,,
, 2006-07,Rabi       ,75244,221864,2.95
, 2007-08,Rabi       ,78279,159799,2.04
, 2008-09,Rabi       ,80367,184830,2.30
, 2009-10,Whole Year ,81506,179778,2.21
, 2010-11,Rabi       ,95981,221759,2.31
, 2011-12,Rabi       ,104099,412147,3.96
, 2012-13,Rabi       ,100612,382423,3.80
, 2013-14,Rabi       ,102492,324488,3.17
, 2014-15,Rabi       ,125000,378000,3.02
 42.NARSINGHPUR, 1997-98,Rabi       ,88500,120300,1.36
, 1998-99,Rabi       ,81800,143500,1.75
, 1999-00,Rabi       ,81492,259408,3.18
, 2000-01,Rabi       ,77338,252772,3.27
, 2001-02,Rabi       ,67695,216381,3.20
, 2002-03,Rabi       ,62524,170610,2.73
, 2003-04,Rabi       ,60462,181707,3.01
, 2004-05,Rabi       ,59188,168938,2.85
, 2005-06,Rabi       ,54522,161664,2.97
, 2006-07,Rabi       ,53073,151925,2.86
, 2007-08,Rabi       ,54969,157560,2.87
, 2008-09,Rabi       ,62311,189672,3.04
, 2009-10,Whole Year ,65069,169418,2.60
, 2010-11,Rabi       ,68842,226878,3.30
, 2011-12,Rabi       ,77318,176403,2.28
, 2012-13,Rabi       ,81995,240816,2.94
, 2013-14,Rabi       ,93171,198021,2.13
, 2014-15,Rabi       ,94000,305000,3.24
 43.NEEMUCH, 1998-99,Rabi       ,33400,84600,2.53
, 1999-00,Rabi       ,32482,103953,3.20
, 2000-01,Rabi       ,17467,41636,2.38
, 2001-02,Rabi       ,23189,63512,2.74
, 2002-03,Rabi       ,11444,23796,2.08
, 2003-04,Rabi       ,17725,48953,2.76
, 2004-05,Rabi       ,25911,74351,2.87
, 2005-06,Rabi       ,24274,62579,2.58
, 2006-07,Rabi       ,39934,85246,2.13
, 2007-08,Rabi       ,27955,58988,2.11
, 2008-09,Rabi       ,32171,74945,2.33
, 2009-10,Whole Year ,29213,61841,2.12
, 2010-11,Rabi       ,38524,92087,2.39
, 2011-12,Rabi       ,43071,132142,3.07
, 2012-13,Rabi       ,42218,162835,3.86
, 2013-14,Rabi       ,53379,226327,4.24
, 2014-15,Rabi       ,56000,203000,3.63
 44.PANNA, 1997-98,Rabi       ,78900,84700,1.07
, 1998-99,Rabi       ,78200,85800,1.10
, 1999-00,Rabi       ,81182,92151,1.14
, 2000-01,Rabi       ,70048,55502,0.79
, 2001-02,Rabi       ,66406,73728,1.11
, 2002-03,Rabi       ,65420,75166,1.15
, 2003-04,Rabi       ,70516,78898,1.12
, 2004-05,Rabi       ,71904,76702,1.07
, 2005-06,Rabi       ,70782,71841,1.01
, 2006-07,Rabi       ,61664,57870,0.94
, 2007-08,Rabi       ,53637,53192,0.99
, 2008-09,Rabi       ,60694,88331,1.46
, 2009-10,Whole Year ,68249,97074,1.42
, 2010-11,Rabi       ,62814,89133,1.42
, 2011-12,Rabi       ,70946,143847,2.03
, 2012-13,Rabi       ,82540,156445,1.90
, 2013-14,Rabi       ,85234,151520,1.78
, 2014-15,Rabi       ,63000,123000,1.95
 45.RAIPUR, 1997-98,Rabi       ,13500,13100,0.97
, 1998-99,Rabi       ,8300,8200,0.99
 46.RAISEN, 1997-98,Rabi       ,182100,196200,1.08
, 1998-99,Rabi       ,177100,239300,1.35
, 1999-00,Rabi       ,179776,255448,1.42
, 2000-01,Rabi       ,172252,224058,1.30
, 2001-02,Rabi       ,170963,242956,1.42
, 2002-03,Rabi       ,173061,271406,1.57
, 2003-04,Rabi       ,177497,277056,1.56
, 2004-05,Rabi       ,178743,279277,1.56
, 2005-06,Rabi       ,178044,304533,1.71
, 2006-07,Rabi       ,178364,311314,1.75
, 2007-08,Rabi       ,167936,203912,1.21
, 2008-09,Rabi       ,168418,266855,1.58
, 2009-10,Whole Year ,185266,376514,2.03
, 2010-11,Rabi       ,182321,278393,1.53
, 2011-12,Rabi       ,222167,663866,2.99
, 2012-13,Rabi       ,232568,788547,3.39
, 2013-14,Rabi       ,241868,517098,2.14
, 2014-15,Rabi       ,270000,917000,3.40
 47.RAJGARH, 1997-98,Rabi       ,2200,2900,1.32
, 1998-99,Rabi       ,800,1200,1.50
, 1999-00,Rabi       ,80071,171522,2.14
, 2000-01,Rabi       ,31602,40683,1.29
, 2001-02,Rabi       ,39703,55376,1.39
, 2002-03,Rabi       ,18579,23081,1.24
, 2003-04,Rabi       ,56973,102715,1.80
, 2004-05,Rabi       ,65309,102606,1.57
, 2005-06,Rabi       ,42984,59311,1.38
, 2006-07,Rabi       ,69801,118208,1.69
, 2007-08,Rabi       ,72279,103709,1.43
, 2008-09,Rabi       ,56103,85755,1.53
, 2009-10,Whole Year ,77694,145348,1.87
, 2010-11,Rabi       ,94128,140386,1.49
, 2011-12,Rabi       ,137077,323835,2.36
, 2012-13,Rabi       ,165106,462594,2.80
, 2013-14,Rabi       ,194096,450660,2.32
, 2014-15,Rabi       ,161000,509000,3.16
 48.RAJNANDGAON, 1997-98,Rabi       ,18700,11800,0.63
, 1998-99,Rabi       ,14400,8500,0.59
 49.RATLAM, 1997-98,Rabi       ,87300,243700,2.79
, 1998-99,Rabi       ,91000,260100,2.86
, 1999-00,Rabi       ,81517,263142,3.23
, 2000-01,Rabi       ,18979,46277,2.44
, 2001-02,Rabi       ,26824,50045,1.87
, 2002-03,Rabi       ,13321,31847,2.39
, 2003-04,Rabi       ,60333,182357,3.02
, 2004-05,Rabi       ,70527,203811,2.89
, 2005-06,Rabi       ,45314,134479,2.97
, 2006-07,Rabi       ,83132,245060,2.95
, 2007-08,Rabi       ,78510,228866,2.92
, 2008-09,Rabi       ,63151,196442,3.11
, 2009-10,Whole Year ,74317,218287,2.94
, 2010-11,Rabi       ,68719,276787,4.03
, 2011-12,Rabi       ,94679,185282,1.96
, 2012-13,Rabi       ,103540,306441,2.96
, 2013-14,Rabi       ,123114,327382,2.66
, 2014-15,Rabi       ,91000,262000,2.88
 50.REWA, 1997-98,Rabi       ,162700,190700,1.17
, 1998-99,Rabi       ,167100,197200,1.18
, 1999-00,Rabi       ,169829,217730,1.28
, 2000-01,Rabi       ,165312,172166,1.04
, 2001-02,Rabi       ,168102,213102,1.27
, 2002-03,Rabi       ,167877,193002,1.15
, 2003-04,Rabi       ,170452,204449,1.20
, 2004-05,Rabi       ,167601,181075,1.08
, 2005-06,Rabi       ,169490,173439,1.02
, 2006-07,Rabi       ,155553,133058,0.86
, 2007-08,Rabi       ,146954,99275,0.68
, 2008-09,Rabi       ,155656,165338,1.06
, 2009-10,Whole Year ,155731,158014,1.01
, 2010-11,Rabi       ,134395,111301,0.83
, 2011-12,Rabi       ,151795,297386,1.96
, 2012-13,Rabi       ,156877,383745,2.45
, 2013-14,Rabi       ,154211,318562,2.07
, 2014-15,Rabi       ,199000,683000,3.43
 51.SAGAR, 1997-98,Rabi       ,232800,241100,1.04
, 1998-99,Rabi       ,226400,280900,1.24
, 1999-00,Rabi       ,228563,264891,1.16
, 2000-01,Rabi       ,200599,155152,0.77
, 2001-02,Rabi       ,189980,205677,1.08
, 2002-03,Rabi       ,140737,115079,0.82
, 2003-04,Rabi       ,161798,183701,1.14
, 2004-05,Rabi       ,163775,173088,1.06
, 2005-06,Rabi       ,163778,174654,1.07
, 2006-07,Rabi       ,163695,172583,1.05
, 2007-08,Rabi       ,139562,131823,0.94
, 2008-09,Rabi       ,150051,188219,1.25
, 2009-10,Whole Year ,172960,244514,1.41
, 2010-11,Rabi       ,172481,186539,1.08
, 2011-12,Rabi       ,195622,351131,1.79
, 2012-13,Rabi       ,213446,449696,2.11
, 2013-14,Rabi       ,228788,425347,1.86
, 2014-15,Rabi       ,185000,394000,2.13
 52.SATNA, 1997-98,Rabi       ,189700,256100,1.35
, 1998-99,Rabi       ,186800,265700,1.42
, 1999-00,Rabi       ,186432,208997,1.12
, 2000-01,Rabi       ,161075,132038,0.82
, 2001-02,Rabi       ,163378,169278,1.04
, 2002-03,Rabi       ,160281,197513,1.23
, 2003-04,Rabi       ,160047,197686,1.24
, 2004-05,Rabi       ,157557,173886,1.10
, 2005-06,Rabi       ,153921,175969,1.14
, 2006-07,Rabi       ,141994,124806,0.88
, 2007-08,Rabi       ,127773,88466,0.69
, 2008-09,Rabi       ,137852,147780,1.07
, 2009-10,Whole Year ,143238,173098,1.21
, 2010-11,Rabi       ,125361,119063,0.95
, 2011-12,Rabi       ,149484,321517,2.15
, 2012-13,Rabi       ,142461,448587,3.15
, 2013-14,Rabi       ,146542,479988,3.28
, 2014-15,Rabi       ,169000,593000,3.51
 53.SEHORE, 1997-98,Rabi       ,157600,275000,1.74
, 1998-99,Rabi       ,148600,287700,1.94
, 1999-00,Rabi       ,163768,308528,1.88
, 2000-01,Rabi       ,75783,158427,2.09
, 2001-02,Rabi       ,139570,272223,1.95
, 2002-03,Rabi       ,133052,233601,1.76
, 2003-04,Rabi       ,157151,346844,2.21
, 2004-05,Rabi       ,170602,364929,2.14
, 2005-06,Rabi       ,145315,272341,1.87
, 2006-07,Rabi       ,161968,363639,2.25
, 2007-08,Rabi       ,165365,189009,1.14
, 2008-09,Rabi       ,153062,226884,1.48
, 2009-10,Whole Year ,192079,401066,2.09
, 2010-11,Rabi       ,204158,327233,1.60
, 2011-12,Rabi       ,223937,644654,2.88
, 2012-13,Rabi       ,237507,503877,2.12
, 2013-14,Rabi       ,245359,543608,2.22
, 2014-15,Rabi       ,240000,851000,3.55
 54.SEONI, 1997-98,Rabi       ,91200,40300,0.44
, 1998-99,Rabi       ,98200,75600,0.77
, 1999-00,Rabi       ,104639,95035,0.91
, 2000-01,Rabi       ,85502,52140,0.61
, 2001-02,Rabi       ,95682,83084,0.87
, 2002-03,Rabi       ,96543,78824,0.82
, 2003-04,Rabi       ,98668,93086,0.94
, 2004-05,Rabi       ,92998,77701,0.84
, 2005-06,Rabi       ,103032,91153,0.88
, 2006-07,Rabi       ,104715,101306,0.97
, 2007-08,Rabi       ,110466,93405,0.85
, 2008-09,Rabi       ,103101,90147,0.87
, 2009-10,Whole Year ,108784,90484,0.83
, 2010-11,Rabi       ,111663,102116,0.91
, 2011-12,Rabi       ,120707,242742,2.01
, 2012-13,Rabi       ,132113,374258,2.83
, 2013-14,Rabi       ,153282,346039,2.26
, 2014-15,Rabi       ,99000,286000,2.89
 55.SHAHDOL, 1997-98,Rabi       ,72800,50100,0.69
, 1998-99,Rabi       ,46300,34600,0.75
, 1999-00,Rabi       ,47364,30288,0.64
, 2000-01,Rabi       ,31161,20338,0.65
, 2001-02,Rabi       ,36567,25767,0.70
, 2002-03,Rabi       ,31840,19430,0.61
, 2003-04,Rabi       ,21141,16643,0.79
, 2004-05,Rabi       ,21326,16431,0.77
, 2005-06,Rabi       ,24098,19872,0.82
, 2006-07,Rabi       ,22927,17766,0.77
, 2007-08,Rabi       ,21160,18010,0.85
, 2008-09,Rabi       ,22996,20697,0.90
, 2009-10,Whole Year ,24140,16849,0.70
, 2010-11,Rabi       ,24655,17117,0.69
, 2011-12,Rabi       ,26577,49154,1.85
, 2012-13,Rabi       ,27772,69210,2.49
, 2013-14,Rabi       ,46992,124473,2.65
, 2014-15,Rabi       ,56000,106000,1.89
 56.SHAJAPUR, 1997-98,Rabi       ,100700,199400,1.98
, 1998-99,Rabi       ,105300,255800,2.43
, 1999-00,Rabi       ,109406,285430,2.61
, 2000-01,Rabi       ,27621,50281,1.82
, 2001-02,Rabi       ,42831,69103,1.61
, 2002-03,Rabi       ,37138,56073,1.51
, 2003-04,Rabi       ,77506,148275,1.91
, 2004-05,Rabi       ,85379,180243,2.11
, 2005-06,Rabi       ,52031,93027,1.79
, 2006-07,Rabi       ,86540,196803,2.27
, 2007-08,Rabi       ,87454,164910,1.89
, 2008-09,Rabi       ,66008,134835,2.04
, 2009-10,Whole Year ,83862,221344,2.64
, 2010-11,Rabi       ,90836,182142,2.01
, 2011-12,Rabi       ,117308,350739,2.99
, 2012-13,Rabi       ,126239,260684,2.07
, 2013-14,Rabi       ,126374,285328,2.26
, 2014-15,Rabi       ,71000,241000,3.39
 57.SHEOPUR, 1998-99,Rabi       ,60400,205800,3.41
, 1999-00,Rabi       ,46907,117016,2.49
, 2000-01,Rabi       ,43781,112946,2.58
, 2001-02,Rabi       ,39284,90798,2.31
, 2002-03,Rabi       ,17159,28400,1.66
, 2003-04,Rabi       ,39205,109435,2.79
, 2004-05,Rabi       ,34903,78723,2.26
, 2005-06,Rabi       ,34524,86441,2.50
, 2006-07,Rabi       ,38385,85488,2.23
, 2007-08,Rabi       ,42420,93383,2.20
, 2008-09,Rabi       ,40220,94285,2.34
, 2009-10,Whole Year ,47120,144007,3.06
, 2010-11,Rabi       ,69702,173500,2.49
, 2011-12,Rabi       ,78723,352679,4.48
, 2012-13,Rabi       ,80781,354225,4.39
, 2013-14,Rabi       ,88842,384597,4.33
, 2014-15,Rabi       ,82000,302000,3.68
 58.SHIVPURI, 1997-98,Rabi       ,131300,242500,1.85
, 1998-99,Rabi       ,130000,229100,1.76
, 1999-00,Rabi       ,138347,258707,1.87
, 2000-01,Rabi       ,108469,170635,1.57
, 2001-02,Rabi       ,111773,227458,2.03
, 2002-03,Rabi       ,66493,91814,1.38
, 2003-04,Rabi       ,120603,262404,2.18
, 2004-05,Rabi       ,121461,216505,1.78
, 2005-06,Rabi       ,108816,200821,1.85
, 2006-07,Rabi       ,99289,178325,1.80
, 2007-08,Rabi       ,90420,110157,1.22
, 2008-09,Rabi       ,114825,224004,1.95
, 2009-10,Whole Year ,139816,250416,1.79
, 2010-11,Rabi       ,147056,298074,2.03
, 2011-12,Rabi       ,194843,532820,2.73
, 2012-13,Rabi       ,201934,664134,3.29
, 2013-14,Rabi       ,195611,527468,2.70
, 2014-15,Rabi       ,145000,456000,3.14
 59.SIDHI, 1997-98,Rabi       ,73600,84400,1.15
, 1998-99,Rabi       ,83300,76400,0.92
, 1999-00,Rabi       ,86425,72886,0.84
, 2000-01,Rabi       ,84669,60904,0.72
, 2001-02,Rabi       ,89051,71984,0.81
, 2002-03,Rabi       ,87385,56962,0.65
, 2003-04,Rabi       ,90674,76565,0.84
, 2004-05,Rabi       ,88189,67195,0.76
, 2005-06,Rabi       ,87478,65303,0.75
, 2006-07,Rabi       ,88551,67560,0.76
, 2007-08,Rabi       ,85829,54745,0.64
, 2008-09,Rabi       ,53965,47029,0.87
, 2009-10,Whole Year ,55104,45403,0.82
, 2010-11,Rabi       ,53834,38122,0.71
, 2011-12,Rabi       ,57049,88546,1.55
, 2012-13,Rabi       ,57322,132652,2.31
, 2013-14,Rabi       ,60395,145619,2.41
, 2014-15,Rabi       ,78000,185000,2.37
 60.SINGRAULI, 2008-09,Rabi       ,32236,28862,0.90
, 2009-10,Whole Year ,32340,34956,1.08
, 2010-11,Rabi       ,30855,35112,1.14
, 2011-12,Rabi       ,32636,50328,1.54
, 2012-13,Rabi       ,33337,65591,1.97
, 2013-14,Rabi       ,33372,66612,2.00
, 2014-15,Rabi       ,58000,125000,2.16
 61.SURGUJA, 1997-98,Rabi       ,21200,23100,1.09
, 1998-99,Rabi       ,16600,20900,1.26
 62.TIKAMGARH, 1997-98,Rabi       ,122700,249900,2.04
, 1998-99,Rabi       ,124000,250400,2.02
, 1999-00,Rabi       ,128221,280435,2.19
, 2000-01,Rabi       ,115859,212894,1.84
, 2001-02,Rabi       ,118585,207982,1.75
, 2002-03,Rabi       ,105135,179638,1.71
, 2003-04,Rabi       ,120330,250315,2.08
, 2004-05,Rabi       ,106986,174821,1.63
, 2005-06,Rabi       ,94444,126284,1.34
, 2006-07,Rabi       ,58125,78242,1.35
, 2007-08,Rabi       ,22748,27964,1.23
, 2008-09,Rabi       ,107434,209207,1.95
, 2009-10,Whole Year ,100959,168328,1.67
, 2010-11,Rabi       ,78021,98994,1.27
, 2011-12,Rabi       ,137811,371047,2.69
, 2012-13,Rabi       ,146730,376243,2.56
, 2013-14,Rabi       ,158635,321516,2.03
, 2014-15,Rabi       ,117000,288000,2.46
 63.UJJAIN, 1997-98,Rabi       ,166200,437300,2.63
, 1998-99,Rabi       ,177700,488700,2.75
, 1999-00,Rabi       ,189419,555638,2.93
, 2000-01,Rabi       ,36916,53962,1.46
, 2001-02,Rabi       ,55755,62864,1.13
, 2002-03,Rabi       ,46099,62186,1.35
, 2003-04,Rabi       ,130949,223399,1.71
, 2004-05,Rabi       ,148771,345589,2.32
, 2005-06,Rabi       ,69766,122437,1.75
, 2006-07,Rabi       ,183168,548854,3.00
, 2007-08,Rabi       ,190986,341111,1.79
, 2008-09,Rabi       ,98796,184325,1.87
, 2009-10,Whole Year ,128916,318571,2.47
, 2010-11,Rabi       ,135129,237773,1.76
, 2011-12,Rabi       ,150445,402096,2.67
, 2012-13,Rabi       ,204840,622908,3.04
, 2013-14,Rabi       ,276226,791383,2.86
, 2014-15,Rabi       ,190000,586000,3.08
 64.UMARIA, 1998-99,Rabi       ,29500,24200,0.82
, 1999-00,Rabi       ,30455,22474,0.74
, 2000-01,Rabi       ,25584,17295,0.68
, 2001-02,Rabi       ,26707,21362,0.80
, 2002-03,Rabi       ,26446,19700,0.74
, 2003-04,Rabi       ,26951,23140,0.86
, 2004-05,Rabi       ,27206,20849,0.77
, 2005-06,Rabi       ,26251,21145,0.81
, 2006-07,Rabi       ,25842,20348,0.79
, 2007-08,Rabi       ,25352,18612,0.73
, 2008-09,Rabi       ,25943,22726,0.88
, 2009-10,Whole Year ,26237,20476,0.78
, 2010-11,Rabi       ,26022,19931,0.77
, 2011-12,Rabi       ,27956,51384,1.84
, 2012-13,Rabi       ,29133,57128,1.96
, 2013-14,Rabi       ,30903,66658,2.16
, 2014-15,Rabi       ,25000,41000,1.64
 65.VIDISHA, 1997-98,Rabi       ,236900,328000,1.38
, 1998-99,Rabi       ,229600,351600,1.53
, 1999-00,Rabi       ,232956,364915,1.57
, 2000-01,Rabi       ,208434,283178,1.36
, 2001-02,Rabi       ,201826,282726,1.40
, 2002-03,Rabi       ,232956,308722,1.33
, 2003-04,Rabi       ,211597,332930,1.57
, 2004-05,Rabi       ,214475,335221,1.56
, 2005-06,Rabi       ,206566,312775,1.51
, 2006-07,Rabi       ,213502,355793,1.67
, 2007-08,Rabi       ,179925,202425,1.13
, 2008-09,Rabi       ,172743,259612,1.50
, 2009-10,Whole Year ,198099,370361,1.87
, 2010-11,Rabi       ,206858,341573,1.65
, 2011-12,Rabi       ,242856,470375,1.94
, 2012-13,Rabi       ,254407,446263,1.75
, 2013-14,Rabi       ,261282,544725,2.08
, 2014-15,Rabi       ,284000,775000,2.73
Maharashtra,,,,,
 1.AHMEDNAGAR, 1997-98,Rabi       ,79700,87100,1.09
, 1998-99,Rabi       ,124400,154200,1.24
, 1999-00,Rabi       ,127000,178800,1.41
, 2000-01,Rabi       ,94700,135800,1.43
, 2001-02,Rabi       ,93800,156300,1.67
, 2002-03,Rabi       ,70400,88500,1.26
, 2003-04,Rabi       ,39200,39500,1.01
, 2004-05,Rabi       ,89300,154600,1.73
, 2005-06,Rabi       ,103100,153800,1.49
, 2006-07,Rabi       ,153900,248100,1.61
, 2007-08,Rabi       ,130900,271100,2.07
, 2008-09,Rabi       ,138200,219200,1.59
, 2009-10,Rabi       ,129500,216000,1.67
, 2010-11,Rabi       ,133700,248900,1.86
, 2011-12,Rabi       ,48100,88700,1.84
, 2012-13,Rabi       ,38900,46100,1.19
, 2013-14,Rabi       ,51900,100700,1.94
, 2014-15,Rabi       ,57200,85000,1.49
, 2015-16,Rabi       ,41100,50100,1.22
, 2016-17,Rabi       ,60000,127200,2.12
 2.AKOLA, 1997-98,Rabi       ,20900,21800,1.04
, 1998-99,Rabi       ,25800,31600,1.22
, 1999-00,Rabi       ,12400,20900,1.69
, 2000-01,Rabi       ,9700,13800,1.42
, 2001-02,Rabi       ,10100,15500,1.53
, 2002-03,Rabi       ,10300,15800,1.53
, 2003-04,Rabi       ,8700,12300,1.41
, 2004-05,Rabi       ,3400,3800,1.12
, 2005-06,Rabi       ,11200,17100,1.53
, 2006-07,Rabi       ,35400,70100,1.98
, 2007-08,Rabi       ,48500,131400,2.71
, 2008-09,Rabi       ,34400,51900,1.51
, 2009-10,Rabi       ,35400,88500,2.50
, 2010-11,Rabi       ,37800,89900,2.38
, 2011-12,Rabi       ,16700,36600,2.19
, 2012-13,Rabi       ,19900,33900,1.70
, 2013-14,Rabi       ,19900,25200,1.27
, 2014-15,Rabi       ,18300,25800,1.41
, 2015-16,Rabi       ,14800,17700,1.20
, 2016-17,Rabi       ,16700,27500,1.65
 3.AMRAVATI, 1997-98,Rabi       ,16300,12800,0.79
, 1998-99,Rabi       ,19200,24700,1.29
, 1999-00,Rabi       ,21700,35000,1.61
, 2000-01,Rabi       ,13400,17000,1.27
, 2001-02,Rabi       ,11300,15000,1.33
, 2002-03,Rabi       ,11100,11500,1.04
, 2003-04,Rabi       ,11600,14400,1.24
, 2004-05,Rabi       ,10300,12000,1.17
, 2005-06,Rabi       ,17000,23300,1.37
, 2006-07,Rabi       ,25400,42500,1.67
, 2007-08,Rabi       ,53700,101500,1.89
, 2008-09,Rabi       ,45400,63000,1.39
, 2009-10,Rabi       ,49300,97300,1.97
, 2010-11,Rabi       ,54700,105400,1.93
, 2011-12,Rabi       ,32500,58900,1.81
, 2012-13,Rabi       ,36100,71500,1.98
, 2013-14,Rabi       ,42000,65000,1.55
, 2014-15,Rabi       ,66400,87200,1.31
, 2015-16,Rabi       ,68000,69300,1.02
, 2016-17,Rabi       ,73600,111900,1.52
 4.AURANGABAD, 1997-98,Rabi       ,31800,28800,0.91
, 1998-99,Rabi       ,51000,71700,1.41
, 1999-00,Rabi       ,47200,66500,1.41
, 2000-01,Rabi       ,23800,29200,1.23
, 2001-02,Rabi       ,29500,34900,1.18
, 2002-03,Rabi       ,33400,40500,1.21
, 2003-04,Rabi       ,31200,40100,1.29
, 2004-05,Rabi       ,36400,47200,1.30
, 2005-06,Rabi       ,40900,67600,1.65
, 2006-07,Rabi       ,60700,121900,2.01
, 2007-08,Rabi       ,49200,107600,2.19
, 2008-09,Rabi       ,44500,78100,1.76
, 2009-10,Rabi       ,46200,88000,1.90
, 2010-11,Rabi       ,75300,158400,2.10
, 2011-12,Rabi       ,39900,74200,1.86
, 2012-13,Rabi       ,24300,21500,0.88
, 2013-14,Rabi       ,35400,54200,1.53
, 2014-15,Rabi       ,35400,33900,0.96
, 2015-16,Rabi       ,32200,33300,1.03
, 2016-17,Rabi       ,64500,135400,2.10
 5.BEED, 1997-98,Rabi       ,28300,20400,0.72
, 1998-99,Rabi       ,40600,46300,1.14
, 1999-00,Rabi       ,38700,47500,1.23
, 2000-01,Rabi       ,43000,47100,1.10
, 2001-02,Rabi       ,38200,37100,0.97
, 2002-03,Rabi       ,30900,29700,0.96
, 2003-04,Rabi       ,26200,13800,0.53
, 2004-05,Rabi       ,31900,28000,0.88
, 2005-06,Rabi       ,42700,45000,1.05
, 2006-07,Rabi       ,52400,66900,1.28
, 2007-08,Rabi       ,61800,89700,1.45
, 2008-09,Rabi       ,65200,80300,1.23
, 2009-10,Rabi       ,67000,91900,1.37
, 2010-11,Rabi       ,63600,82500,1.30
, 2011-12,Rabi       ,39800,52800,1.33
, 2012-13,Rabi       ,27700,27000,0.97
, 2013-14,Rabi       ,57800,57100,0.99
, 2014-15,Rabi       ,59100,40000,0.68
, 2015-16,Rabi       ,48000,13200,0.28
, 2016-17,Rabi       ,47200,79430,1.68
 6.BHANDARA, 1997-98,Rabi       ,18300,6200,0.34
, 1998-99,Rabi       ,21100,14700,0.70
, 1999-00,Rabi       ,17500,14100,0.81
, 2000-01,Rabi       ,10900,7600,0.70
, 2001-02,Rabi       ,10700,10900,1.02
, 2002-03,Rabi       ,10600,7600,0.72
, 2003-04,Rabi       ,10000,9600,0.96
, 2004-05,Rabi       ,5800,4300,0.74
, 2005-06,Rabi       ,10300,9400,0.91
, 2006-07,Rabi       ,13200,12400,0.94
, 2007-08,Rabi       ,14000,15700,1.12
, 2008-09,Rabi       ,6700,5600,0.84
, 2009-10,Rabi       ,9600,10300,1.07
, 2010-11,Rabi       ,11500,12500,1.09
, 2011-12,Rabi       ,11600,12700,1.09
, 2012-13,Rabi       ,11800,14700,1.25
, 2013-14,Rabi       ,11900,13600,1.14
, 2014-15,Rabi       ,11400,13900,1.22
, 2015-16,Rabi       ,10900,12000,1.10
, 2016-17,Rabi       ,10900,13800,1.27
 7.BULDHANA, 1997-98,Rabi       ,20700,17500,0.85
, 1998-99,Rabi       ,35500,60500,1.70
, 1999-00,Rabi       ,35500,67000,1.89
, 2000-01,Rabi       ,21600,32300,1.50
, 2001-02,Rabi       ,23700,42300,1.78
, 2002-03,Rabi       ,28900,52400,1.81
, 2003-04,Rabi       ,30500,47800,1.57
, 2004-05,Rabi       ,26500,18300,0.69
, 2005-06,Rabi       ,26100,27000,1.03
, 2006-07,Rabi       ,58200,82500,1.42
, 2007-08,Rabi       ,59300,118500,2.00
, 2008-09,Rabi       ,47400,70000,1.48
, 2009-10,Rabi       ,46000,93900,2.04
, 2010-11,Rabi       ,53800,92700,1.72
, 2011-12,Rabi       ,41100,67900,1.65
, 2012-13,Rabi       ,36100,53600,1.48
, 2013-14,Rabi       ,59000,73900,1.25
, 2014-15,Rabi       ,73500,95500,1.30
, 2015-16,Rabi       ,60100,48800,0.81
, 2016-17,Rabi       ,103880,162400,1.56
 8.CHANDRAPUR, 1997-98,Rabi       ,28100,10200,0.36
, 1998-99,Rabi       ,32700,20800,0.64
, 1999-00,Rabi       ,34200,24200,0.71
, 2000-01,Rabi       ,22900,15200,0.66
, 2001-02,Rabi       ,24500,19300,0.79
, 2002-03,Rabi       ,20400,12000,0.59
, 2003-04,Rabi       ,31500,19600,0.62
, 2004-05,Rabi       ,21300,12000,0.56
, 2005-06,Rabi       ,29500,22100,0.75
, 2006-07,Rabi       ,34100,24900,0.73
, 2007-08,Rabi       ,36000,34700,0.96
, 2008-09,Rabi       ,30000,27500,0.92
, 2009-10,Rabi       ,25700,16700,0.65
, 2010-11,Rabi       ,34300,36800,1.07
, 2011-12,Rabi       ,22100,27100,1.23
, 2012-13,Rabi       ,22400,26700,1.19
, 2013-14,Rabi       ,25600,28600,1.12
, 2014-15,Rabi       ,24200,17800,0.74
, 2015-16,Rabi       ,20800,16200,0.78
, 2016-17,Rabi       ,19900,25000,1.26
 9.DHULE, 1997-98,Rabi       ,18000,23700,1.32
, 1998-99,Rabi       ,19200,26300,1.37
, 1999-00,Rabi       ,12600,17000,1.35
, 2000-01,Rabi       ,8800,8900,1.01
, 2001-02,Rabi       ,11300,13400,1.19
, 2002-03,Rabi       ,14100,17600,1.25
, 2003-04,Rabi       ,17500,28000,1.60
, 2004-05,Rabi       ,22000,38800,1.76
, 2005-06,Rabi       ,22200,35800,1.61
, 2006-07,Rabi       ,28000,44100,1.58
, 2007-08,Rabi       ,36000,86200,2.39
, 2008-09,Rabi       ,21300,35600,1.67
, 2009-10,Rabi       ,28800,59100,2.05
, 2010-11,Rabi       ,30300,65300,2.16
, 2011-12,Rabi       ,34300,78600,2.29
, 2012-13,Rabi       ,37500,82400,2.20
, 2013-14,Rabi       ,47200,77500,1.64
, 2014-15,Rabi       ,36000,65700,1.83
, 2015-16,Rabi       ,46700,74900,1.60
, 2016-17,Rabi       ,40400,87300,2.16
 10.GADCHIROLI, 1997-98,Rabi       ,1400,1000,0.71
, 1998-99,Rabi       ,1300,1200,0.92
, 1999-00,Rabi       ,1000,600,0.60
, 2000-01,Rabi       ,1000,600,0.60
, 2001-02,Rabi       ,1000,800,0.80
, 2002-03,Rabi       ,1000,800,0.80
, 2003-04,Rabi       ,900,600,0.67
, 2004-05,Rabi       ,600,300,0.50
